sample_count,real_count,fake_count,predicted_fake_count,accuracy,precision,recall,specificity,f1,auc,threshold,tn,fp,fn,tp,distance_to_0_5
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3979999999999997,0,50,0,50,0.10200000000000031
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3969999999999997,0,50,0,50,0.10300000000000031
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3959999999999997,0,50,0,50,0.10400000000000031
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3949999999999997,0,50,0,50,0.10500000000000032
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3939999999999997,0,50,0,50,0.10600000000000032
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3929999999999997,0,50,0,50,0.10700000000000032
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3919999999999997,0,50,0,50,0.10800000000000032
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3909999999999997,0,50,0,50,0.10900000000000032
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3899999999999997,0,50,0,50,0.11000000000000032
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3889999999999997,0,50,0,50,0.11100000000000032
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3879999999999997,0,50,0,50,0.11200000000000032
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3869999999999997,0,50,0,50,0.11300000000000032
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3859999999999997,0,50,0,50,0.11400000000000032
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3849999999999997,0,50,0,50,0.11500000000000032
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3839999999999997,0,50,0,50,0.11600000000000033
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3829999999999997,0,50,0,50,0.11700000000000033
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3819999999999997,0,50,0,50,0.11800000000000033
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3809999999999997,0,50,0,50,0.11900000000000033
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.37999999999999967,0,50,0,50,0.12000000000000033
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.37899999999999967,0,50,0,50,0.12100000000000033
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.37799999999999967,0,50,0,50,0.12200000000000033
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3769999999999997,0,50,0,50,0.12300000000000028
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3759999999999997,0,50,0,50,0.12400000000000028
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3749999999999997,0,50,0,50,0.12500000000000028
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3739999999999997,0,50,0,50,0.12600000000000028
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3729999999999997,0,50,0,50,0.12700000000000028
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3719999999999997,0,50,0,50,0.12800000000000028
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3709999999999997,0,50,0,50,0.12900000000000028
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3699999999999997,0,50,0,50,0.13000000000000028
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3689999999999997,0,50,0,50,0.13100000000000028
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3679999999999997,0,50,0,50,0.13200000000000028
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3669999999999997,0,50,0,50,0.13300000000000028
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3659999999999997,0,50,0,50,0.13400000000000029
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3649999999999997,0,50,0,50,0.1350000000000003
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3639999999999997,0,50,0,50,0.1360000000000003
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3629999999999997,0,50,0,50,0.1370000000000003
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3619999999999997,0,50,0,50,0.1380000000000003
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3609999999999997,0,50,0,50,0.1390000000000003
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3599999999999997,0,50,0,50,0.1400000000000003
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3589999999999997,0,50,0,50,0.1410000000000003
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3579999999999997,0,50,0,50,0.1420000000000003
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3569999999999997,0,50,0,50,0.1430000000000003
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3559999999999997,0,50,0,50,0.1440000000000003
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3549999999999997,0,50,0,50,0.1450000000000003
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3539999999999997,0,50,0,50,0.1460000000000003
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3529999999999997,0,50,0,50,0.1470000000000003
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3519999999999997,0,50,0,50,0.1480000000000003
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3509999999999997,0,50,0,50,0.1490000000000003
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3499999999999997,0,50,0,50,0.1500000000000003
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3489999999999997,0,50,0,50,0.1510000000000003
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3479999999999997,0,50,0,50,0.1520000000000003
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3469999999999997,0,50,0,50,0.1530000000000003
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.34599999999999975,0,50,0,50,0.15400000000000025
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.34499999999999975,0,50,0,50,0.15500000000000025
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.34399999999999975,0,50,0,50,0.15600000000000025
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.34299999999999975,0,50,0,50,0.15700000000000025
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.34199999999999975,0,50,0,50,0.15800000000000025
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.34099999999999975,0,50,0,50,0.15900000000000025
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.33999999999999975,0,50,0,50,0.16000000000000025
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.33899999999999975,0,50,0,50,0.16100000000000025
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.33799999999999975,0,50,0,50,0.16200000000000025
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.33699999999999974,0,50,0,50,0.16300000000000026
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.33599999999999974,0,50,0,50,0.16400000000000026
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.33499999999999974,0,50,0,50,0.16500000000000026
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.33399999999999974,0,50,0,50,0.16600000000000026
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.33299999999999974,0,50,0,50,0.16700000000000026
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.33199999999999974,0,50,0,50,0.16800000000000026
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.33099999999999974,0,50,0,50,0.16900000000000026
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.32999999999999974,0,50,0,50,0.17000000000000026
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.32899999999999974,0,50,0,50,0.17100000000000026
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.32799999999999974,0,50,0,50,0.17200000000000026
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.32699999999999974,0,50,0,50,0.17300000000000026
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.32599999999999973,0,50,0,50,0.17400000000000027
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.32499999999999973,0,50,0,50,0.17500000000000027
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.32399999999999973,0,50,0,50,0.17600000000000027
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.32299999999999973,0,50,0,50,0.17700000000000027
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.32199999999999973,0,50,0,50,0.17800000000000027
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.32099999999999973,0,50,0,50,0.17900000000000027
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.31999999999999973,0,50,0,50,0.18000000000000027
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.31899999999999973,0,50,0,50,0.18100000000000027
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3179999999999997,0,50,0,50,0.18200000000000027
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3169999999999997,0,50,0,50,0.18300000000000027
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3159999999999997,0,50,0,50,0.18400000000000027
